Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1993","1993","tonnes","358100","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1994","1994","tonnes","553583","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1995","1995","tonnes","509500","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1996","1996","tonnes","295000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1997","1997","tonnes","187200","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1998","1998","tonnes","463000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1999","1999","tonnes","550000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2000","2000","tonnes","1164000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2001","2001","tonnes","1031000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2002","2002","tonnes","657000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2003","2003","tonnes","1603103","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2004","2004","tonnes","575020","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2005","2005","tonnes","862146","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2006","2006","tonnes","526206","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2007","2007","tonnes","600238","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2008","2008","tonnes","1100050","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2009","2009","tonnes","1735594","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2010","2010","tonnes","1698234","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2011","2011","tonnes","1654282","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2012","2012","tonnes","1639039","T","Unofficial figure"
